================ Training Loss (Sat Nov 29 20:58:22 2025) ================
[Rank 0] (epoch: 1, iters: 20, time: 0.087, data: 0.027) , D_A: 3.346, G_A: 4.885, cycle_A: 5.546, D_B: 2.009, G_B: 1.640, cycle_B: 6.086, clip_style_AtoB: 7.871, clip_style_BtoA: 7.844, edge_AtoB: 6.820

[Rank 0] (epoch: 1, iters: 40, time: 0.087, data: 0.020) , D_A: 1.423, G_A: 1.970, cycle_A: 4.545, D_B: 0.889, G_B: 0.924, cycle_B: 3.689, clip_style_AtoB: 7.977, clip_style_BtoA: 7.805, edge_AtoB: 3.844

[Rank 0] (epoch: 1, iters: 60, time: 0.086, data: 0.020) , D_A: 0.727, G_A: 0.753, cycle_A: 4.608, D_B: 0.737, G_B: 0.806, cycle_B: 3.444, clip_style_AtoB: 7.871, clip_style_BtoA: 7.781, edge_AtoB: 4.584

[Rank 0] (epoch: 1, iters: 80, time: 0.088, data: 0.021) , D_A: 0.625, G_A: 0.677, cycle_A: 3.605, D_B: 0.546, G_B: 0.631, cycle_B: 3.671, clip_style_AtoB: 7.812, clip_style_BtoA: 7.664, edge_AtoB: 3.603

[Rank 0] (epoch: 1, iters: 100, time: 0.089, data: 0.015) , D_A: 0.633, G_A: 0.956, cycle_A: 3.270, D_B: 1.014, G_B: 1.154, cycle_B: 2.670, clip_style_AtoB: 7.805, clip_style_BtoA: 7.664, edge_AtoB: 4.023

[Rank 0] (epoch: 1, iters: 120, time: 0.085, data: 0.017) , D_A: 0.684, G_A: 1.095, cycle_A: 3.369, D_B: 0.507, G_B: 0.501, cycle_B: 4.137, clip_style_AtoB: 7.738, clip_style_BtoA: 7.613, edge_AtoB: 4.902

[Rank 0] (epoch: 1, iters: 140, time: 0.088, data: 0.012) , D_A: 0.470, G_A: 0.796, cycle_A: 2.359, D_B: 0.409, G_B: 0.543, cycle_B: 2.979, clip_style_AtoB: 7.648, clip_style_BtoA: 7.535, edge_AtoB: 3.118

[Rank 0] (epoch: 1, iters: 160, time: 0.089, data: 0.019) , D_A: 0.393, G_A: 0.791, cycle_A: 3.566, D_B: 0.413, G_B: 0.521, cycle_B: 2.562, clip_style_AtoB: 7.617, clip_style_BtoA: 7.508, edge_AtoB: 4.118

[Rank 0] (epoch: 1, iters: 180, time: 0.086, data: 0.020) , D_A: 0.301, G_A: 0.776, cycle_A: 3.260, D_B: 0.326, G_B: 0.496, cycle_B: 2.450, clip_style_AtoB: 7.695, clip_style_BtoA: 7.578, edge_AtoB: 4.664

[Rank 0] (epoch: 1, iters: 200, time: 0.086, data: 0.017) , D_A: 0.330, G_A: 0.865, cycle_A: 3.702, D_B: 0.350, G_B: 0.510, cycle_B: 3.498, clip_style_AtoB: 7.664, clip_style_BtoA: 7.414, edge_AtoB: 3.051

[Rank 0] (epoch: 1, iters: 220, time: 0.083, data: 0.021) , D_A: 0.585, G_A: 1.019, cycle_A: 3.333, D_B: 0.697, G_B: 0.776, cycle_B: 4.123, clip_style_AtoB: 7.578, clip_style_BtoA: 7.492, edge_AtoB: 5.426

[Rank 0] (epoch: 1, iters: 240, time: 0.083, data: 0.011) , D_A: 0.323, G_A: 0.672, cycle_A: 3.182, D_B: 0.276, G_B: 0.469, cycle_B: 4.761, clip_style_AtoB: 7.570, clip_style_BtoA: 7.375, edge_AtoB: 4.321

[Rank 0] (epoch: 1, iters: 260, time: 0.083, data: 0.015) , D_A: 0.235, G_A: 0.648, cycle_A: 3.867, D_B: 0.278, G_B: 0.377, cycle_B: 2.893, clip_style_AtoB: 7.504, clip_style_BtoA: 7.441, edge_AtoB: 5.748

[Rank 0] (epoch: 1, iters: 280, time: 0.087, data: 0.017) , D_A: 0.298, G_A: 0.574, cycle_A: 2.373, D_B: 0.292, G_B: 0.374, cycle_B: 3.039, clip_style_AtoB: 7.480, clip_style_BtoA: 7.523, edge_AtoB: 4.231

[Rank 0] (epoch: 1, iters: 300, time: 0.087, data: 0.020) , D_A: 0.317, G_A: 0.869, cycle_A: 3.318, D_B: 0.228, G_B: 0.369, cycle_B: 2.472, clip_style_AtoB: 7.508, clip_style_BtoA: 7.406, edge_AtoB: 3.283

[Rank 0] (epoch: 1, iters: 320, time: 0.084, data: 0.023) , D_A: 0.246, G_A: 0.594, cycle_A: 3.367, D_B: 0.306, G_B: 0.501, cycle_B: 2.347, clip_style_AtoB: 7.508, clip_style_BtoA: 7.344, edge_AtoB: 3.465

[Rank 0] (epoch: 1, iters: 340, time: 0.084, data: 0.020) , D_A: 0.332, G_A: 0.620, cycle_A: 2.848, D_B: 0.316, G_B: 0.610, cycle_B: 1.684, clip_style_AtoB: 7.441, clip_style_BtoA: 7.430, edge_AtoB: 3.685

[Rank 0] (epoch: 1, iters: 360, time: 0.090, data: 0.021) , D_A: 0.227, G_A: 0.717, cycle_A: 2.766, D_B: 0.270, G_B: 0.319, cycle_B: 2.993, clip_style_AtoB: 7.414, clip_style_BtoA: 7.438, edge_AtoB: 4.359

[Rank 0] (epoch: 1, iters: 380, time: 0.086, data: 0.015) , D_A: 0.203, G_A: 0.788, cycle_A: 4.003, D_B: 0.252, G_B: 0.380, cycle_B: 3.419, clip_style_AtoB: 7.547, clip_style_BtoA: 7.438, edge_AtoB: 3.174

[Rank 0] (epoch: 1, iters: 400, time: 0.100, data: 0.021) , D_A: 0.189, G_A: 0.748, cycle_A: 4.447, D_B: 0.352, G_B: 0.531, cycle_B: 3.462, clip_style_AtoB: 7.578, clip_style_BtoA: 7.445, edge_AtoB: 4.294

[Rank 0] (epoch: 1, iters: 420, time: 0.085, data: 0.015) , D_A: 0.194, G_A: 0.708, cycle_A: 4.411, D_B: 0.359, G_B: 0.440, cycle_B: 3.450, clip_style_AtoB: 7.492, clip_style_BtoA: 7.367, edge_AtoB: 3.693

[Rank 0] (epoch: 1, iters: 440, time: 0.085, data: 0.026) , D_A: 0.238, G_A: 0.807, cycle_A: 3.399, D_B: 0.412, G_B: 0.693, cycle_B: 3.544, clip_style_AtoB: 7.367, clip_style_BtoA: 7.352, edge_AtoB: 4.347

[Rank 0] (epoch: 1, iters: 460, time: 0.088, data: 0.021) , D_A: 0.497, G_A: 0.815, cycle_A: 3.000, D_B: 0.225, G_B: 0.479, cycle_B: 2.911, clip_style_AtoB: 7.484, clip_style_BtoA: 7.465, edge_AtoB: 3.289

[Rank 0] (epoch: 1, iters: 480, time: 0.087, data: 0.026) , D_A: 0.243, G_A: 0.772, cycle_A: 2.472, D_B: 0.312, G_B: 0.337, cycle_B: 3.611, clip_style_AtoB: 7.336, clip_style_BtoA: 7.297, edge_AtoB: 4.256

[Rank 0] (epoch: 1, iters: 500, time: 0.087, data: 0.015) , D_A: 0.160, G_A: 0.723, cycle_A: 3.360, D_B: 0.270, G_B: 0.342, cycle_B: 2.381, clip_style_AtoB: 7.500, clip_style_BtoA: 7.336, edge_AtoB: 4.908

